id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1419,Beautiful home in amazing area!,1565,Alexandra,,Little Portugal,43.64617,-79.42451,Entire home/apt,469,4,7,2017-12-04,0.11,1,0
8077,Downtown Harbourfront Private Room,22795,Kathie & Larry,,Waterfront Communities-The Island,43.64105,-79.37628,Private room,96,180,169,2013-08-27,1.23,2,365
12604,Seaton Village Parlour Bedroom,48239,Rona,,Annex,43.66724,-79.41598,Private room,64,1,0,,,1,0
23691,Queen Bedroom close to downtown,93825,Yohan & Sarah,,Briar Hill-Belgravia,43.69602,-79.45468,Private room,70,1,217,2019-12-22,1.69,2,304
27423,Executive Studio Unit- Ideal for One Person,118124,Brent,,Greenwood-Coxwell,43.6689,-79.32592,Entire home/apt,45,365,26,2011-08-30,0.20,1,0
30931,Downtown Toronto - Waterview Condo,22795,Kathie & Larry,,Waterfront Communities-The Island,43.64151,-79.37643,Entire home/apt,128,180,1,2010-08-11,0.01,2,365
40456,Downtown 2  Bdr.Apt with King Size Bed and Parking,174063,Denis,,South Parkdale,43.63532,-79.44049,Entire home/apt,100,30,111,2020-10-31,0.88,5,346
41887,Great location,183071,Kyle,,Oakridge,43.69466,-79.28667,Entire home/apt,70,2,83,2020-10-26,1.68,2,335
42892,Downtown 3 Beds 2 Baths @ Union & Harbourfront,187320,Downtown Suite Living,,Waterfront Communities-The Island,43.64451,-79.38185,Entire home/apt,110,29,0,,,13,272
43964,Bright entire 2-bedrm basement suite private entry,192364,Mitra,,Wexford/Maryvale,43.74948,-79.29147,Private room,93,2,31,2020-09-28,0.65,1,364
44452,Yonge & Bloor Studio Skyline,195095,Urbano,,Church-Yonge Corridor,43.66979,-79.38494,Entire home/apt,99,1,55,2020-09-10,0.44,12,362
44469,Yonge & Bloor 2 Bedroom Apartment,195095,Urbano,,Rosedale-Moore Park,43.67136,-79.38598,Private room,79,1,8,2017-08-27,0.07,12,365
45399,Fountain View Studio - Eaton center,195095,Urbano,,Bay Street Corridor,43.66103,-79.3834,Entire home/apt,117,1,78,2019-11-07,0.63,12,319
45601,Marigold Gardens,188183,Simon,,South Riverdale,43.66274,-79.33096,Private room,50,2,0,,,1,365
45893,Yonge & Bloor Lakeview Master BR,195095,Urbano,,Church-Yonge Corridor,43.66957,-79.38539,Private room,83,1,18,2019-06-01,0.15,12,346
50110,Yorkville one bedroom Condo,195095,Urbano,,Church-Yonge Corridor,43.66899,-79.38548,Entire home/apt,123,3,58,2020-11-25,0.47,12,309
51616,Large room in trendy King Street West.,237587,John,,Niagara,43.64296,-79.40451,Private room,56,91,24,2018-11-11,0.45,1,179
57483,Downtown 3 Beds 2 Baths @ Union & Harbour,187320,Downtown Suite Living,,Waterfront Communities-The Island,43.64286,-79.38073,Entire home/apt,110,29,0,,,13,180
64641,Furnished Heritage Rooms Downtown,304551,Kintoo,,Niagara,43.6444,-79.40829,Private room,40,30,17,2020-11-01,0.14,8,352
64645,Furnished Heritage Suite Downtown,304551,Kintoo,,Niagara,43.64585,-79.40853,Private room,50,30,12,2020-10-31,0.10,8,365
65238,Zen South Facing Bedroom in Quiet Art-Filled Home,318911,Magali,,Palmerston-Little Italy,43.65853,-79.42709,Private room,79,2,68,2020-03-20,0.58,2,364
66856,Furnished Heritage Room Downtown 6,304551,Kintoo,,Niagara,43.64588,-79.40829,Private room,35,30,1,2011-02-10,0.01,8,1
71118,Furnished Downtown Loft Suite,304551,Kintoo,,Niagara,43.64597,-79.40766,Private room,60,30,11,2018-08-18,0.09,8,1
75051,"GreatSpace,Backyard, 5min to Subway",368707,Sandra,,Dufferin Grove,43.65956,-79.43228,Entire home/apt,149,6,273,2020-01-26,2.30,2,0
82694,Luxury Hotel Downtown Living !!,431260,Caterina,,Niagara,43.64171,-79.40469,Entire home/apt,108,30,29,2016-09-23,0.25,1,362
84076,A short walk to TIFF,544254,Darryl,,Niagara,43.64457,-79.40451,Entire home/apt,120,3,6,2018-08-20,0.07,1,0
84151,North City View Yonge/Bloor,195095,Urbano,,Church-Yonge Corridor,43.6696,-79.38547,Entire home/apt,125,1,24,2017-07-02,0.21,12,365
89575,Private bedroom close to downtown,93825,Yohan & Sarah,,Briar Hill-Belgravia,43.69662,-79.45325,Private room,67,1,88,2019-10-24,0.80,2,303
96336,John & Bren's Queen West 3 bedroom townhouse,511506,John,,Niagara,43.64458,-79.41022,Entire home/apt,202,3,123,2020-10-27,1.42,1,155
104096,Hip and modern family-friendly home,349172,Avery,,South Riverdale,43.66527,-79.32934,Entire home/apt,175,5,18,2019-08-03,0.16,1,346
104722,Annex apartment - with great deck!,455397,Carly,,Annex,43.67175,-79.40398,Entire home/apt,160,2,6,2018-10-08,0.09,1,0
112842,Gorgeous Condo near High Park!!,575127,Micheline,,High Park North,43.65623,-79.46667,Entire home/apt,65,180,12,2017-03-05,0.11,1,365
